Method,Run,Latency (s),Peak RAM (MB),Peak VRAM (MB)
Saliency,1,0.09477147300003708,0.0120391845703125,0.0
Saliency,2,0.09031324199986557,0.0120391845703125,0.0
Saliency,3,0.09031886200000372,0.0120391845703125,0.0
Saliency,4,0.09540814399997544,0.0120391845703125,0.0
Saliency,5,0.09353267799997411,0.0120391845703125,0.0
Saliency,6,0.10139719399967362,0.0120391845703125,0.0
Saliency,7,0.08920576099990285,0.0120391845703125,0.0
Saliency,8,0.0938625310000134,0.0120391845703125,0.0
Saliency,9,0.0919671839997136,0.0120391845703125,0.0
Saliency,10,0.08522447699988334,0.0120391845703125,0.0
Saliency,11,0.08336701200005336,0.0120391845703125,0.0
Saliency,12,0.08061727399990559,0.0120391845703125,0.0
Saliency,13,0.08145341999988887,0.0120391845703125,0.0
Saliency,14,0.08165765200010355,0.0120391845703125,0.0
Saliency,15,0.08825611399970512,0.0120391845703125,0.0
Saliency,16,0.09039176799979032,0.0120391845703125,0.0
Saliency,17,0.08905592799965234,0.0120391845703125,0.0
Saliency,18,0.08176416400010567,0.0120391845703125,0.0
Saliency,19,0.08154978899983689,0.0120391845703125,0.0
Saliency,20,0.09371457400038707,0.0120391845703125,0.0
Saliency,21,0.09754111899974305,0.0120391845703125,0.0
Saliency,22,0.09679753499995059,0.0120391845703125,0.0
Saliency,23,0.09859244399967793,0.0120391845703125,0.0
Saliency,24,0.0957102490001489,0.0120391845703125,0.0
Saliency,25,0.09904001800032347,0.0120391845703125,0.0
Saliency,26,0.0993059180000273,0.0120391845703125,0.0
Saliency,27,0.09442629199975272,0.0120391845703125,0.0
Saliency,28,0.09392439900011595,0.0120391845703125,0.0
Saliency,29,0.09121423999977196,0.0120391845703125,0.0
Saliency,30,0.0930155839996587,0.0120391845703125,0.0
Saliency,31,0.09656976099995518,0.0120391845703125,0.0
Saliency,32,0.1051400870001089,0.0120391845703125,0.0
Saliency,33,0.08978213299997151,0.0120391845703125,0.0
Saliency,34,0.08306706399980612,0.0120391845703125,0.0
Saliency,35,0.0801050199997917,0.0120391845703125,0.0
Saliency,36,0.08146204500008025,0.0120391845703125,0.0
Saliency,37,0.09280819500008874,0.0120391845703125,0.0
Saliency,38,0.08112167800027237,0.0120391845703125,0.0
Saliency,39,0.11346655300030761,0.0120391845703125,0.0
Saliency,40,0.13998555999978635,0.0120391845703125,0.0
Saliency,41,0.12125373099979697,0.0120391845703125,0.0
Saliency,42,0.12392627600002015,0.0120391845703125,0.0
Saliency,43,0.09879800299995622,0.0120391845703125,0.0
Saliency,44,0.08554451600002722,0.0120391845703125,0.0
Saliency,45,0.08874643299986928,0.0120391845703125,0.0
Saliency,46,0.1031703649996416,0.0120391845703125,0.0
Saliency,47,0.10683845299990935,0.0120391845703125,0.0
Saliency,48,0.0979256919999898,0.0121002197265625,0.0
Saliency,49,0.09803040999986479,0.0121002197265625,0.0
Saliency,50,0.11204039399990506,0.0121002197265625,0.0
Saliency,51,0.1590703689998918,0.0121002197265625,0.0
Saliency,52,0.2426826930000061,0.0121002197265625,0.0
Saliency,53,0.09489057700011472,0.0121002197265625,0.0
Saliency,54,0.11231920799991713,0.0121002197265625,0.0
Saliency,55,0.08342459100003907,0.0121002197265625,0.0
Saliency,56,0.09297393199994985,0.0121002197265625,0.0
Saliency,57,0.08118048000005729,0.0121002197265625,0.0
Saliency,58,0.08121401900007186,0.0121002197265625,0.0
Saliency,59,0.0933230230002664,0.0121002197265625,0.0
Saliency,60,0.09509822500012888,0.0121002197265625,0.0
Saliency,61,0.09021909200009759,0.0121002197265625,0.0
Saliency,62,0.08978150800021467,0.0121002197265625,0.0
Saliency,63,0.09078830299995388,0.0121002197265625,0.0
Saliency,64,0.08977206899999146,0.0121002197265625,0.0
Saliency,65,0.09160613699987152,0.0121002197265625,0.0
Saliency,66,0.09150924000005034,0.0121002197265625,0.0
Saliency,67,0.09184355299976232,0.0121002197265625,0.0
Saliency,68,0.08990675700033535,0.0121002197265625,0.0
Saliency,69,0.09012704599990684,0.0121002197265625,0.0
Saliency,70,0.09260753199987448,0.0121002197265625,0.0
Saliency,71,0.0914342169999145,0.0121002197265625,0.0
Saliency,72,0.10059814299984282,0.0121002197265625,0.0
Saliency,73,0.0967784650001704,0.0121002197265625,0.0
Saliency,74,0.0901252310000018,0.0121002197265625,0.0
Saliency,75,0.08940504300016983,0.0121002197265625,0.0
Saliency,76,0.09102989900020475,0.0121002197265625,0.0
Saliency,77,0.09088835400007156,0.0121002197265625,0.0
Saliency,78,0.09756067499984056,0.0121002197265625,0.0
Saliency,79,0.10179646300002787,0.0121002197265625,0.0
Saliency,80,0.10082322700009172,0.0121002197265625,0.0
Saliency,81,0.09572210399983305,0.0121002197265625,0.0
Saliency,82,0.09747696800013728,0.0121002197265625,0.0
Saliency,83,0.09369102100026794,0.0121002197265625,0.0
Saliency,84,0.09406986099975256,0.0121002197265625,0.0
Saliency,85,0.09745837000036772,0.0121002197265625,0.0
Saliency,86,0.09861211599991293,0.0121002197265625,0.0
Saliency,87,0.10320771600027001,0.0121002197265625,0.0
Saliency,88,0.1088116880000598,0.0121002197265625,0.0
Saliency,89,0.10876611200001207,0.0121002197265625,0.0
Saliency,90,0.11239018500009479,0.0121002197265625,0.0
Saliency,91,0.10339396700010184,0.0121002197265625,0.0
Saliency,92,0.1000776579999183,0.0121002197265625,0.0
Saliency,93,0.10061985499987713,0.0121002197265625,0.0
Saliency,94,0.09816417499996533,0.0121002197265625,0.0
Saliency,95,0.10330738399989059,0.0121002197265625,0.0
Saliency,96,0.10134028799984662,0.0121002197265625,0.0
Saliency,97,0.09872747100007473,0.0121002197265625,0.0
Saliency,98,0.0990521820003778,0.0121002197265625,0.0
Saliency,99,0.09850876599966796,0.0121002197265625,0.0
Saliency,100,0.09920268499990925,0.0121002197265625,0.0
Grad-CAM,1,0.05651184699991063,0.3930854797363281,0.0
Grad-CAM,2,0.05459974699988379,0.3930854797363281,0.0
Grad-CAM,3,0.053485911000279884,0.3930854797363281,0.0
Grad-CAM,4,0.05413913400025194,0.3932991027832031,0.0
Grad-CAM,5,0.05351588199982871,0.3930320739746094,0.0
Grad-CAM,6,0.05362441499983106,0.3930320739746094,0.0
Grad-CAM,7,0.05340481099983663,0.3930320739746094,0.0
Grad-CAM,8,0.053588948999731656,0.3930320739746094,0.0
Grad-CAM,9,0.05294482099998277,0.3932456970214844,0.0
Grad-CAM,10,0.05488680400003432,0.3930320739746094,0.0
Grad-CAM,11,0.05397599400021136,0.3930320739746094,0.0
Grad-CAM,12,0.053177264999703766,0.3930320739746094,0.0
Grad-CAM,13,0.054732211000100506,0.3930320739746094,0.0
Grad-CAM,14,0.05360503800011429,0.3932456970214844,0.0
Grad-CAM,15,0.053489351000280294,0.3930320739746094,0.0
Grad-CAM,16,0.0537325420000343,0.3930320739746094,0.0
Grad-CAM,17,0.05443297900001198,0.3930320739746094,0.0
Grad-CAM,18,0.0538752669999667,0.3930320739746094,0.0
Grad-CAM,19,0.055010523999953875,0.3932456970214844,0.0
Grad-CAM,20,0.05429030200002671,0.3930320739746094,0.0
Grad-CAM,21,0.05342756000027293,0.3930320739746094,0.0
Grad-CAM,22,0.054281915000046865,0.3930320739746094,0.0
Grad-CAM,23,0.053646508999918296,0.3930320739746094,0.0
Grad-CAM,24,0.05341360900001746,0.3932456970214844,0.0
Grad-CAM,25,0.05319344400004411,0.3930320739746094,0.0
Grad-CAM,26,0.05349629499960429,0.3930320739746094,0.0
Grad-CAM,27,0.053887667000253714,0.3930320739746094,0.0
Grad-CAM,28,0.05397231400002056,0.3930320739746094,0.0
Grad-CAM,29,0.054684706999978516,0.3932456970214844,0.0
Grad-CAM,30,0.0532499830001143,0.3930320739746094,0.0
Grad-CAM,31,0.05348584300008952,0.3930320739746094,0.0
Grad-CAM,32,0.05595068299999184,0.3930320739746094,0.0
Grad-CAM,33,0.05332193499998539,0.3930320739746094,0.0
Grad-CAM,34,0.05327514300006442,0.3932456970214844,0.0
Grad-CAM,35,0.054031921999921906,0.3930320739746094,0.0
Grad-CAM,36,0.054089253999791254,0.3930320739746094,0.0
Grad-CAM,37,0.05375057999981436,0.3930320739746094,0.0
Grad-CAM,38,0.05435112500026662,0.3930320739746094,0.0
Grad-CAM,39,0.053666750000047614,0.3932456970214844,0.0
Grad-CAM,40,0.05347605899987684,0.3930320739746094,0.0
Grad-CAM,41,0.05370775500023228,0.3930320739746094,0.0
Grad-CAM,42,0.0539097099999708,0.3930320739746094,0.0
Grad-CAM,43,0.0536518639996757,0.3930320739746094,0.0
Grad-CAM,44,0.053147185999932844,0.3932456970214844,0.0
Grad-CAM,45,0.053002037000169366,0.3930320739746094,0.0
Grad-CAM,46,0.05341885999996521,0.3930320739746094,0.0
Grad-CAM,47,0.055137027999990096,0.3930320739746094,0.0
Grad-CAM,48,0.053717830000096,0.3930320739746094,0.0
Grad-CAM,49,0.05347963999975036,0.3932456970214844,0.0
Grad-CAM,50,0.054063877999851684,0.3930320739746094,0.0
Grad-CAM,51,0.05421907399977499,0.3932075500488281,0.0
Grad-CAM,52,0.053902686999663274,0.3930320739746094,0.0
Grad-CAM,53,0.053822542000034446,0.3930320739746094,0.0
Grad-CAM,54,0.05609636000008322,0.3932456970214844,0.0
Grad-CAM,55,0.05416916000012861,0.3930320739746094,0.0
Grad-CAM,56,0.05542523399981292,0.3930320739746094,0.0
Grad-CAM,57,0.05376454399993236,0.3930320739746094,0.0
Grad-CAM,58,0.05345236899984229,0.3930320739746094,0.0
Grad-CAM,59,0.054388944000038464,0.3932456970214844,0.0
Grad-CAM,60,0.05421947300010288,0.3930320739746094,0.0
Grad-CAM,61,0.0531450080002287,0.3930320739746094,0.0
Grad-CAM,62,0.053378476000034425,0.3930320739746094,0.0
Grad-CAM,63,0.053406122000069445,0.3930320739746094,0.0
Grad-CAM,64,0.053745806999813794,0.3932456970214844,0.0
Grad-CAM,65,0.054965053999694646,0.3930320739746094,0.0
Grad-CAM,66,0.05506703900027787,0.3930320739746094,0.0
Grad-CAM,67,0.053786059000231035,0.3930320739746094,0.0
Grad-CAM,68,0.05515595499991832,0.3930320739746094,0.0
Grad-CAM,69,0.05557340700033819,0.3932456970214844,0.0
Grad-CAM,70,0.061918295999930706,0.3930320739746094,0.0
Grad-CAM,71,0.07189067500030433,0.3930320739746094,0.0
Grad-CAM,72,0.0608926079999037,0.3930320739746094,0.0
Grad-CAM,73,0.05124406300001283,0.3930320739746094,0.0
Grad-CAM,74,0.05367551800009096,0.3932456970214844,0.0
Grad-CAM,75,0.051628303000143205,0.3930320739746094,0.0
Grad-CAM,76,0.0512405550002768,0.3930320739746094,0.0
Grad-CAM,77,0.051089907999994466,0.3930320739746094,0.0
Grad-CAM,78,0.05147069399981774,0.3930320739746094,0.0
Grad-CAM,79,0.050638187999993534,0.3932456970214844,0.0
Grad-CAM,80,0.051122310000209836,0.3930320739746094,0.0
Grad-CAM,81,0.050771404999977676,0.3930320739746094,0.0
Grad-CAM,82,0.051159238000309415,0.3930320739746094,0.0
Grad-CAM,83,0.05028362700022626,0.3930320739746094,0.0
Grad-CAM,84,0.052941533000193886,0.3932456970214844,0.0
Grad-CAM,85,0.051874196999960986,0.3930320739746094,0.0
Grad-CAM,86,0.05063606900012019,0.3930320739746094,0.0
Grad-CAM,87,0.051454305999868666,0.3930320739746094,0.0
